x stepAtStep(x) CI/2 
1.0 1.0 0.0 
11.0 11.0 0.0 
21.0 21.0 0.0 
31.0 31.0 0.0 
41.0 41.0 0.0 
51.0 51.0 0.0 
61.0 61.0 0.0 
71.0 71.0 0.0 
81.0 81.0 0.0 
91.0 91.0 0.0 
101.0 101.0 0.0 
111.0 111.0 0.0 
121.0 121.0 0.0 
131.0 131.0 0.0 
141.0 141.0 0.0 
151.0 151.0 0.0 
161.0 161.0 0.0 
171.0 171.0 0.0 
181.0 181.0 0.0 
191.0 191.0 0.0 
201.0 201.0 0.0 
211.0 211.0 0.0 
221.0 221.0 0.0 
231.0 231.0 0.0 
241.0 241.0 0.0 
251.0 251.0 0.0 
261.0 261.0 0.0 
271.0 271.0 0.0 
281.0 281.0 0.0 
291.0 291.0 0.0 
